id,date,total_with_one_dose,total_completed,total_booster,total_vaccinations,total_persons_vaccinated
710,2022-12-07,7931889,7642081,6936921,21932442,7931735
711,2022-12-08,7931912,7642112,6946681,21942254,7931758
712,2022-12-09,7931947,7642158,6953429,21949080,7931793
713,2022-12-10,7931955,7642170,6955039,21950708,7931801
714,2022-12-11,7931957,7642172,6955186,21950857,7931803
715,2022-12-12,7931978,7642201,6960296,21956017,7931824
716,2022-12-13,7932035,7642275,6969464,21965315,7931881
717,2022-12-14,7932077,7642331,6974858,21970806,7931923
718,2022-12-15,7932117,7642376,6983115,21979145,7931963
719,2022-12-16,7932177,7642430,6988746,21984888,7932023
720,2022-12-17,7932181,7642439,6990124,21986279,7932027
721,2022-12-18,7932182,7642440,6990299,21986456,7932028
722,2022-12-19,7932296,7642567,6994279,21990619,7932142
723,2022-12-20,7932326,7642608,7000853,21997257,7932171
724,2022-12-21,7932361,7642633,7004306,22000765,7932206
725,2022-12-22,7932379,7642654,7008278,22004775,7932224
726,2022-12-23,7932407,7642687,7010397,22006951,7932251
727,2022-12-24,7932413,7642693,7010619,22007185,7932257
728,2022-12-25,7932413,7642694,7010636,22007203,7932257
729,2022-12-26,7932413,7642694,7010655,22007222,7932257
730,2022-12-27,7932449,7642735,7013422,22010064,7932293
731,2022-12-28,7932479,7642771,7015625,22012331,7932323
732,2022-12-29,7932509,7642801,7018650,22015415,7932353
733,2022-12-30,7932544,7642842,7020160,22017001,7932388
734,2022-12-31,7932551,7642847,7020281,22017133,7932395
735,2023-01-01,7932552,7642848,7020300,22017153,7932396
736,2023-01-02,7932622,7642934,7021584,22018562,7932466
737,2023-01-03,7932645,7642958,7025070,22022083,7932489
738,2023-01-04,7932672,7642980,7027838,22024898,7932516
739,2023-01-05,7932701,7643017,7032955,22030075,7932545
740,2023-01-06,7932713,7643031,7033667,22030813,7932557
741,2023-01-07,7932714,7643032,7033731,22030879,7932558
742,2023-01-08,7932717,7643035,7033764,22030918,7932561
743,2023-01-09,7932747,7643072,7037066,22034283,7932591
744,2023-01-10,7932797,7643124,7044977,22042291,7932641
745,2023-01-11,7932842,7643164,7049351,22046745,7932686
746,2023-01-12,7932874,7643199,7056162,22053622,7932718
747,2023-01-13,7932931,7643271,7061276,22058860,7932775
748,2023-01-14,7932946,7643289,7061972,22059587,7932790
749,2023-01-15,7932948,7643293,7061994,22059615,7932792
750,2023-01-16,7933084,7643452,7065391,22063216,7932928
751,2023-01-17,7933109,7643476,7071249,22069110,7932953
752,2023-01-18,7933154,7643518,7074294,22072217,7932998
753,2023-01-19,7933188,7643556,7078743,22076735,7933032
754,2023-01-20,7933215,7643592,7081657,22079709,7933059
755,2023-01-21,7933219,7643604,7082061,22080129,7933063
756,2023-01-22,7933219,7643604,7082073,22080141,7933063
757,2023-01-23,7933246,7643630,7083838,22081958,7933090
758,2023-01-24,7933293,7643664,7086988,22085185,7933137
759,2023-01-25,7933339,7643698,7088589,22086858,7933183
760,2023-01-26,7933382,7643726,7090759,22089098,7933226
761,2023-01-27,7933421,7643768,7092148,22090568,7933265
762,2023-01-28,7933440,7643785,7092381,22090834,7933284
763,2023-01-29,7933440,7643785,7092381,22090834,22090834
764,2023-01-30,7933515,7643882,7093447,22092024,7933359
765,2023-01-31,7933546,7643899,7095265,22093887,7933390
766,2023-02-01,7933574,7643923,7096315,22094988,7933418
767,2023-02-02,7933607,7643934,7098040,22096757,7933450
768,2023-02-03,7933637,7643954,7099240,22098007,7933480
769,2023-02-04,7933646,7643957,7099379,22098157,7933489
770,2023-02-05,7933647,7643958,7099387,22098167,7933490
771,2023-02-06,7933664,7643968,7099824,22098630,7933507
772,2023-02-07,7933689,7643998,7100716,22099577,7933532
773,2023-02-08,7933712,7644020,7101283,22100187,7933555
774,2023-02-09,7933739,7644036,7102299,22101246,7933582
775,2023-02-10,7933762,7644055,7102961,22101950,7933605
776,2023-02-11,7933767,7644060,7103071,22102070,7933610
777,2023-02-12,7933767,7644060,7103105,22102104,7933610
778,2023-02-13,7933811,7644116,7103642,22102714,7933654
779,2023-02-14,7933838,7644131,7104667,22103775,7933681
780,2023-02-15,7933847,7644143,7105199,22104328,7933690
781,2023-02-16,7933870,7644160,7105968,22105136,7933713
782,2023-02-17,7933894,7644182,7106525,22105735,7933737
783,2023-02-18,7933903,7644185,7106628,22105849,7933746
784,2023-02-19,7933903,7644186,7106633,22105855,7933746
785,2023-02-20,7933923,7644193,7107078,22106326,7933766
786,2023-02-21,7933942,7644209,7107931,22107213,7933785
787,2023-02-22,7933955,7644233,7108450,22107768,7933798
788,2023-02-23,7933982,7644250,7109149,22108510,7933825
789,2023-02-24,7934009,7644276,7109615,22109026,7933852
790,2023-02-25,7934014,7644284,7109680,22109103,7933857
791,2023-02-26,7934014,7644284,7109686,22109109,7933857
792,2023-02-27,7934015,7644286,7109699,22109125,7933858
793,2023-02-28,7934038,7644313,7110204,22109677,7933881
794,2023-03-01,7934062,7644336,7110562,22110078,7933905
795,2023-03-02,7934084,7644354,7111177,22110736,7933927
796,2023-03-03,7934130,7644398,7111542,22111171,7933973
797,2023-03-04,7934133,7644398,7111610,22111242,7933976
798,2023-03-05,7934134,7644399,7111650,22111284,7933977
799,2023-03-06,7934200,7644470,7112005,22111733,7934043
800,2023-03-07,7934226,7644491,7112506,22112278,7934069
801,2023-03-08,7934245,7644512,7112763,22112569,7934088
802,2023-03-09,7934276,7644538,7113266,22113115,7934119
803,2023-03-10,7934311,7644568,7113614,22113526,7934154
804,2023-03-11,7934317,7644575,7113668,22113592,7934160
805,2023-03-12,7934317,7644575,7113668,22113592,7934160
806,2023-03-13,7934340,7644610,7113936,22113917,7934183
807,2023-03-14,7934357,7644631,7114371,22114387,7934200
808,2023-03-15,7934371,7644643,7114608,22114648,7934214
809,2023-03-16,7934385,7644673,7114990,22115078,7934228
810,2023-03-17,7934405,7644700,7115295,22115442,7934248
811,2023-03-18,7934410,7644706,7115333,22115488,7934253
812,2023-03-19,7934412,7644708,7115339,22115497,7934255
813,2023-03-20,7934477,7644772,7115542,22115771,7934320
814,2023-03-21,7934525,7644812,7115955,22116265,7934368
815,2023-03-22,7934543,7644835,7116199,22116547,7934386
816,2023-03-23,7934562,7644858,7116600,22116987,7934405
817,2023-03-24,7934586,7644887,7116760,22117194,7934429
818,2023-03-25,7934587,7644888,7116788,22117224,7934430
819,2023-03-26,7934587,7644889,7116794,22117231,7934430
820,2023-03-27,7934609,7644905,7116956,22117428,7934452
821,2023-03-28,7934630,7644922,7117195,22117703,7934473
822,2023-03-29,7934640,7644937,7117362,22117893,7934483
823,2023-03-30,7934657,7644956,7117676,22118246,7934500
824,2023-03-31,7934676,7644993,7117837,22118472,7934519
825,2023-04-01,7934686,7644994,7117854,22118500,7934529
826,2023-04-02,7934686,7644996,7117856,22118504,7934529
827,2023-04-03,7934732,7645030,7117989,22118689,7934575
828,2023-04-04,7934764,7645046,7118222,22118969,7934607
829,2023-04-05,7934783,7645065,7118381,22119161,7934626
830,2023-04-06,7934807,7645078,7118560,22119375,7934650
831,2023-04-07,7934827,7645082,7118708,22119547,7934670
832,2023-04-08,7934827,7645082,7118708,22119547,7934670
833,2023-04-09,7934827,7645082,7118714,22119553,7934670
834,2023-04-10,7934852,7645106,7118797,22119685,7934695
835,2023-04-11,7934864,7645112,7118947,22119853,7934707
836,2023-04-12,7934883,7645129,7119018,22119957,7934726
837,2023-04-13,7934906,7645141,7119096,22120071,7934749
838,2023-04-14,7934906,7645142,7119102,22120078,7934749
839,2023-04-15,7934907,7645143,7119102,22120079,7934750
840,2023-04-16,7934907,7645143,7119102,22120079,7934750
841,2023-04-17,7934907,7645143,7119103,22120080,7934750
842,2023-04-18,7934917,7645163,7119168,22120175,7934760
843,2023-04-19,7934929,7645173,7119241,22120269,7934772
844,2023-04-20,7934950,7645186,7119353,22120416,7934793
845,2023-04-21,7934969,7645203,7119419,22120518,7934812
846,2023-04-22,7934971,7645204,7119420,22120521,7934814
847,2023-04-23,7934971,7645204,7119420,22120521,7934814
848,2023-04-24,7935003,7645219,7119528,22120676,7934846
849,2023-04-25,7935021,7645238,7119684,22120864,7934864
850,2023-04-26,7935031,7645255,7119792,22120998,7934874
851,2023-04-27,7935045,7645272,7119963,22121205,7934888
852,2023-04-28,7935071,7645311,7120049,22121348,7934914
853,2023-04-29,7935071,7645311,7120049,22121348,7934914
854,2023-04-30,7935071,7645311,7120065,22121364,7934914
855,2023-05-01,7935072,7645311,7120070,22121370,7934915
856,2023-05-02,7935082,7645329,7120150,22121478,7934925
857,2023-05-03,7935107,7645349,7120253,22121617,7934950
858,2023-05-04,7935107,7645349,7120253,22121617,7934950
859,2023-05-05,7935194,7645421,7120441,22121939,7935036
860,2023-05-06,7935200,7645428,7120450,22121958,7935042
861,2023-05-07,7935200,7645428,7120455,22121963,7935042
862,2023-05-08,7935217,7645445,7120541,22122083,7935059
863,2023-05-09,7935228,7645461,7120659,22122225,7935070
864,2023-05-10,7935235,7645469,7120739,22122319,7935077
865,2023-05-11,7935263,7645482,7120883,22122508,7935105
866,2023-05-12,7935276,7645492,7120933,22122583,7935118
867,2023-05-13,7935278,7645493,7120934,22122587,7935120
868,2023-05-14,7935279,7645494,7120946,22122601,7935121
869,2023-05-15,7935325,7645530,7121022,22122732,7935166
870,2023-05-16,7935332,7645551,7121134,22122872,7935173
871,2023-05-17,7935342,7645562,7121201,22122960,7935183
872,2023-05-18,7935356,7645572,7121316,22123098,7935197
873,2023-05-19,7935368,7645589,7121358,22123168,7935209
874,2023-05-20,7935371,7645591,7121361,22123176,7935212
875,2023-05-21,7935372,7645592,7121361,22123177,7935213
876,2023-05-22,7935394,7645609,7121408,22123263,7935235
877,2023-05-23,7935402,7645619,7121494,22123367,7935243
878,2023-05-24,7935412,7645631,7121546,22123442,7935253
879,2023-05-25,7935427,7645653,7121616,22123550,7935268
880,2023-05-26,7935442,7645668,7121656,22123618,7935283
881,2023-05-27,7935443,7645669,7121656,22123620,7935284
882,2023-05-28,7935443,7645669,7121658,22123622,7935284
883,2023-05-29,7935469,7645698,7121700,22123710,7935310
884,2023-05-30,7935483,7645715,7121799,22123839,7935324
885,2023-05-31,7935490,7645722,7121832,22123886,7935331
886,2023-06-01,7935510,7645730,7121922,22124004,7935351
887,2023-06-02,7935529,7645738,7121961,22124064,7935370
888,2023-06-03,7935529,7645738,7121964,22124067,7935370
889,2023-06-04,7935530,7645738,7121965,22124069,7935371
890,2023-06-05,7935530,7645738,7121966,22124070,7935371
891,2023-06-06,7935536,7645742,7122030,22124144,7935377
892,2023-06-07,7935550,7645751,7122079,22124216,7935391
893,2023-06-08,7935564,7645763,7122161,22124325,7935405
894,2023-06-09,7935574,7645774,7122200,22124385,7935415
895,2023-06-10,7935574,7645774,7122201,22124386,7935415
896,2023-06-11,7935574,7645774,7122201,22124386,7935415
897,2023-06-12,7935594,7645808,7122261,22124490,7935435
898,2023-06-13,7935603,7645816,7122321,22124568,7935444
899,2023-06-14,7935607,7645820,7122353,22124607,7935448
900,2023-06-15,7935616,7645825,7122406,22124674,7935457
901,2023-06-16,7935636,7645842,7122430,22124732,7935477
902,2023-06-17,7935637,7645843,7122433,22124737,7935478
903,2023-06-18,7935637,7645843,7122433,22124737,7935478
904,2023-06-19,7935647,7645853,7122458,22124782,7935487
905,2023-06-20,7935663,7645868,7122531,22124882,7935503
906,2023-06-21,7935673,7645880,7122566,22124938,7935513
907,2023-06-22,7935678,7645894,7122628,22125019,7935518
908,2023-06-23,7935685,7645901,7122645,22125048,7935525
909,2023-06-24,7935686,7645902,7122646,22125051,7935526
910,2023-06-25,7935686,7645902,7122646,22125051,7935526
911,2023-06-26,7935703,7645924,7122671,22125105,7935543
912,2023-06-27,7935718,7645939,7122707,22125168,7935558
913,2023-06-28,7935726,7645948,7122728,22125205,7935566
914,2023-06-29,7935741,7645972,7122784,22125300,7935581
915,2023-06-30,7935747,7645984,7122802,22125336,7935587
916,2023-07-01,7935748,7645985,7122803,22125339,7935588
917,2023-07-02,7935748,7645985,7122803,22125339,7935588
918,2023-07-03,7935757,7645992,7122825,22125377,7935596
919,2023-07-04,7935771,7646009,7122868,22125450,7935610
920,2023-07-05,7935787,7646019,7122898,22125505,7935626
921,2023-07-06,7935800,7646036,7122928,22125565,7935639
922,2023-07-07,7935811,7646050,7122948,22125611,7935650
923,2023-07-08,7935812,7646050,7122958,22125622,7935651
924,2023-07-09,7935813,7646050,7122958,22125623,7935652
925,2023-07-10,7935838,7646079,7122981,22125684,7935676
926,2023-07-11,7935850,7646092,7123007,22125734,7935688
927,2023-07-12,7935866,7646109,7123053,22125813,7935704
928,2023-07-13,7935883,7646116,7123068,22125851,7935721
929,2023-07-14,7935891,7646124,7123092,22125889,7935729
930,2023-07-15,7935892,7646124,7123092,22125890,7935730
931,2023-07-16,7935892,7646124,7123092,22125890,7935730
932,2023-07-17,7935904,7646135,7123108,22125929,7935742
933,2023-07-18,7935920,7646151,7123132,22125984,7935758
934,2023-07-19,7935927,7646158,7123146,22126011,7935765
935,2023-07-20,7935934,7646163,7123164,22126039,7935772
936,2023-07-21,7935949,7646175,7123184,22126086,7935787
937,2023-07-22,7935949,7646175,7123184,22126086,7935787
938,2023-07-23,7935951,7646177,7123184,22126088,7935789
939,2023-07-24,7935968,7646194,7123207,22126132,7935806
940,2023-07-25,7935972,7646203,7123226,22126163,7935810
941,2023-07-26,7935975,7646205,7123229,22126171,7935813
942,2023-07-27,7935988,7646217,7123267,22126234,7935826
943,2023-07-28,7936002,7646232,7123326,22126322,7935840
944,2023-07-29,7936003,7646233,7123329,22126327,7935841
945,2023-07-30,7936003,7646233,7123329,22126327,7935841
946,2023-07-31,7936018,7646242,7123335,22126356,7935856
947,2023-08-01,7936029,7646251,7123359,22126400,7935867
948,2023-08-02,7936038,7646258,7123376,22126432,7935876
949,2023-08-03,7936049,7646264,7123398,22126471,7935887
950,2023-08-04,7936058,7646273,7123405,22126498,7935896
951,2023-08-05,7936059,7646274,7123405,22126500,7935897
952,2023-08-06,7936059,7646274,7123405,22126500,7935897
953,2023-08-07,7936067,7646280,7123432,22126540,7935905
954,2023-08-08,7936081,7646288,7123455,22126583,7935918
955,2023-08-09,7936094,7646294,7123472,22126619,7935931
956,2023-08-10,7936096,7646298,7123492,22126645,7935933
957,2023-08-11,7936105,7646304,7123508,22126676,7935942
958,2023-08-12,7936107,7646304,7123508,22126678,7935944
959,2023-08-13,7936107,7646304,7123508,22126678,7935944
960,2023-08-14,7936116,7646308,7123522,22126705,7935952
961,2023-08-15,7936116,7646308,7123522,22126705,7935952
962,2023-08-16,7936119,7646308,7123528,22126714,7935955
963,2023-08-17,7936129,7646317,7123556,22126762,7935965
964,2023-08-18,7936137,7646323,7123573,22126793,7935973
965,2023-08-19,7936137,7646323,7123574,22126794,7935973
966,2023-08-20,7936137,7646323,7123586,22126806,7935973
967,2023-08-21,7936143,7646327,7123599,22126829,7935979
968,2023-08-22,7936150,7646337,7123628,22126875,7935986
969,2023-08-23,7936156,7646345,7123651,22126912,7935992
970,2023-08-24,7936159,7646347,7123671,22126937,7935995
971,2023-08-25,7936169,7646352,7123687,22126966,7936005
972,2023-08-26,7936169,7646352,7123687,22126966,7936005
973,2023-08-27,7936172,7646352,7123691,22126973,7936008
974,2023-08-28,7936179,7646359,7123705,22127001,7936015
975,2023-08-29,7936186,7646364,7123734,22127041,7936022
976,2023-08-30,7936198,7646370,7123765,22127090,7936034
977,2023-08-31,7936203,7646380,7123802,22127142,7936039
978,2023-09-01,7936208,7646383,7123813,22127161,7936044
979,2023-09-02,7936209,7646384,7123817,22127166,7936045
980,2023-09-03,7936209,7646385,7123818,22127168,7936045
981,2023-09-04,7936220,7646395,7123832,22127202,7936056
982,2023-09-05,7936229,7646398,7123868,22127250,7936065
983,2023-09-06,7936234,7646401,7123882,22127272,7936070
984,2023-09-07,7936249,7646407,7123913,22127323,7936085
985,2023-09-08,7936249,7646407,7123913,22127323,7936085
986,2023-09-09,7936253,7646411,7123923,22127341,7936089
987,2023-09-10,7936253,7646411,7123923,22127341,7936089
988,2023-09-11,7936258,7646415,7123949,22127376,7936094
989,2023-09-12,7936262,7646421,7123993,22127430,7936098
990,2023-09-13,7936270,7646427,7124016,22127467,7936106
991,2023-09-14,7936282,7646432,7124051,22127519,7936118
992,2023-09-15,7936291,7646438,7124068,22127551,7936127
993,2023-09-16,7936293,7646440,7124074,22127560,7936129
994,2023-09-17,7936295,7646442,7124075,22127565,7936131
995,2023-09-18,7936306,7646449,7124115,22127623,7936142
996,2023-09-19,7936314,7646457,7124174,22127698,7936150
997,2023-09-20,7936322,7646463,7124208,22127746,7936158
998,2023-09-21,7936334,7646469,7124272,22127827,7936170
999,2023-09-22,7936339,7646476,7124318,22127884,7936175
1000,2023-09-23,7936339,7646477,7124321,22127888,7936175
1001,2023-09-24,7936343,7646478,7124324,22127896,7936179
1002,2023-09-25,7936352,7646487,7124352,22127942,7936188
1003,2023-09-26,7936362,7646490,7124412,22128014,7936198
1004,2023-09-27,7936366,7646493,7124458,22128067,7936202
1005,2023-09-28,7936375,7646499,7124534,22128158,7936211
1006,2023-09-29,7936394,7646511,7124575,22128230,7936230
1007,2023-09-30,7936394,7646512,7124577,22128233,7936230
1008,2023-10-01,7936394,7646512,7124577,22128233,7936230
1009,2023-10-02,7936408,7646523,7124634,22128315,7936244
1010,2023-10-03,7936413,7646525,7124715,22128403,7936249
1011,2023-10-04,7936420,7646530,7124770,22128470,7936256
1012,2023-10-05,7936430,7646539,7124879,22128598,7936266
1013,2023-10-06,7936437,7646545,7124906,22128638,7936273
1014,2023-10-07,7936437,7646545,7124906,22128638,7936273
1015,2023-10-08,7936438,7646546,7124914,22128648,7936274
1016,2023-10-09,7936448,7646558,7124953,22128707,7936284
1017,2023-10-10,7936455,7646570,7125000,22128773,7936291
1018,2023-10-11,7936466,7646575,7125017,22128806,7936302
1019,2023-10-12,7936470,7646578,7125051,22128847,7936306
1020,2023-10-13,7936474,7646582,7125061,22128865,7936310
1021,2023-10-14,7936474,7646582,7125062,22128866,7936310
1022,2023-10-15,7936474,7646582,7125062,22128866,7936310
1023,2023-10-16,7936476,7646584,7125133,22128941,7936312
1024,2023-10-17,7936484,7646590,7125903,22129725,7936320
1025,2023-10-18,7936497,7646596,7127074,22130914,7936333
1026,2023-10-19,7936511,7646609,7129968,22133835,7936347
1027,2023-10-20,7936519,7646613,7131127,22135006,7936355
1028,2023-10-21,7936519,7646615,7131156,22135037,7936355
1029,2023-10-22,7936519,7646615,7131162,22135043,7936355
1030,2023-10-23,7936530,7646618,7133031,22136926,7936366
1031,2023-10-24,7936549,7646625,7136559,22140480,7936385
1032,2023-10-25,7936562,7646630,7138275,22142215,7936398
1033,2023-10-26,7936575,7646634,7142178,22146135,7936411
1034,2023-10-27,7936579,7646636,7143761,22147724,7936415
1035,2023-10-28,7936579,7646637,7143789,22147753,7936415
1036,2023-10-29,7936579,7646637,7143797,22147761,7936415
1037,2023-10-30,7936586,7646641,7145933,22149908,7936422
1038,2023-10-31,7936611,7646647,7150274,22154280,7936447
1039,2023-11-01,7936620,7646651,7152606,22156625,7936456
1040,2023-11-02,7936642,7646656,7156944,22160990,7936478
1041,2023-11-03,7936661,7646661,7159269,22163339,7936497
1042,2023-11-04,7936663,7646662,7159551,22163624,7936499
1043,2023-11-05,7936663,7646662,7159551,22163624,7936499
1044,2023-11-06,7936676,7646664,7161777,22165865,7936512
1045,2023-11-07,7936694,7646677,7165900,22170019,7936530
1046,2023-11-08,7936711,7646687,7168330,22172476,7936547
1047,2023-11-09,7936737,7646696,7173583,22177764,7936573
1048,2023-11-10,7936756,7646704,7176866,22181074,7936592
1049,2023-11-11,7936758,7646706,7177159,22181371,7936594
1050,2023-11-12,7936758,7646706,7177172,22181384,7936594
1051,2023-11-13,7936769,7646709,7179544,22183770,7936605
1052,2023-11-14,7936790,7646722,7185375,22189635,7936626
1053,2023-11-15,7936804,7646725,7188353,22192629,7936640
1054,2023-11-16,7936818,7646733,7193434,22197733,7936654
1055,2023-11-17,7936833,7646738,7196431,22200750,7936669
1056,2023-11-18,7936833,7646741,7196694,22201016,7936669
1057,2023-11-19,7936833,7646744,7196702,22201027,7936669
1058,2023-11-20,7936853,7646754,7199044,22203399,7936689
1059,2023-11-21,7936876,7646759,7204249,22208632,7936712
1060,2023-11-22,7936889,7646765,7206918,22211320,7936725
1061,2023-11-23,7936910,7646770,7211957,22216385,7936746
1062,2023-11-24,7936925,7646779,7215157,22219608,7936761
1063,2023-11-25,7936927,7646779,7215466,22219919,7936763
1064,2023-11-26,7936927,7646779,7215475,22219928,7936763
1065,2023-11-27,7936936,7646785,7217848,22222316,7936772
1066,2023-11-28,7936958,7646790,7223119,22227614,7936794
1067,2023-11-29,7936972,7646792,7225693,22230204,7936808
1068,2023-11-30,7936982,7646794,7230652,22235174,7936818
1069,2023-12-01,7936998,7646800,7233294,22237837,7936833
1070,2023-12-02,7936999,7646800,7233346,22237890,7936834
1071,2023-12-03,7936999,7646800,7233350,22237894,7936834
1072,2023-12-04,7937011,7646808,7235609,22240174,7936846
1073,2023-12-05,7937023,7646809,7240716,22245294,7936858
1074,2023-12-06,7937031,7646811,7242988,22247576,7936866
1075,2023-12-07,7937053,7646820,7248058,22252677,7936888
1076,2023-12-08,7937063,7646821,7251180,22255810,7936898
1077,2023-12-09,7937065,7646822,7251546,22256179,7936900
1078,2023-12-10,7937065,7646822,7251554,22256187,7936900
1079,2023-12-11,7937074,7646824,7254076,22258720,7936909
1080,2023-12-12,7937086,7646830,7259120,22263782,7936921
1081,2023-12-13,7937096,7646831,7261413,22266086,7936931
1082,2023-12-14,7937117,7646835,7266461,22271159,7936952
1083,2023-12-15,7937131,7646841,7269568,22274286,7936965
1084,2023-12-16,7937132,7646841,7269892,22274611,7936966
1085,2023-12-17,7937132,7646841,7269927,22274646,7936966
1086,2023-12-18,7937142,7646842,7272171,22276902,7936976
1087,2023-12-19,7937158,7646846,7277015,22281766,7936992
1088,2023-12-20,7937174,7646849,7279095,22283865,7937008
1089,2023-12-21,7937197,7646852,7282667,22287463,7937031
1090,2023-12-22,7937211,7646854,7284748,22289560,7937045
1091,2023-12-23,7937211,7646854,7284992,22289804,7937045
1092,2023-12-24,7937211,7646854,7285025,22289837,7937045
1093,2023-12-25,7937211,7646854,7285052,22289864,7937045
1094,2023-12-26,7937211,7646854,7285056,22289868,7937045
1095,2023-12-27,7937226,7646860,7286235,22291068,7937060
1096,2023-12-28,7937249,7646861,7290806,22295663,7937083
1097,2023-12-29,7937265,7646864,7293707,22298583,7937099
1098,2023-12-30,7937268,7646864,7294068,22298947,7937102
1099,2023-12-31,7937268,7646864,7294103,22298982,7937102
1100,2024-01-01,7937268,7646864,7294115,22298994,7937102
1101,2024-01-02,7937296,7646865,7301417,22306325,7937130
1102,2024-01-03,7937305,7646867,7305182,22310100,7937139
1103,2024-01-04,7937326,7646870,7313233,22318176,7937160
1104,2024-01-05,7937354,7646874,7318357,22323331,7937188
1105,2024-01-06,7937358,7646876,7318875,22323856,7937192
1106,2024-01-07,7937358,7646876,7318887,22323868,7937192
1107,2024-01-08,7937373,7646885,7323203,22328208,7937207
1108,2024-01-09,7937392,7646894,7333020,22338050,7937225
1109,2024-01-10,7937407,7646898,7337869,22342919,7937240
1110,2024-01-11,7937428,7646902,7346439,22351514,7937261
1111,2024-01-12,7937449,7646910,7351773,22356877,7937282
1112,2024-01-13,7937450,7646912,7352292,22357398,7937283
1113,2024-01-14,7937450,7646912,7352299,22357405,7937283
1114,2024-01-15,7937456,7646914,7358334,22363448,7937289
1115,2024-01-16,7937456,7646914,7358334,22363448,7937289
1116,2024-01-17,7937456,7646914,7358334,22363448,7937289
1117,2024-01-18,7937514,7646925,7385264,22390448,7937347
1118,2024-01-19,7937536,7646934,7391359,22396575,7937369
1119,2024-01-20,7937538,7646934,7392180,22397398,7937371
1120,2024-01-21,7937538,7646934,7392205,22397423,7937371
1121,2024-01-22,7937556,7646935,7397396,22402633,7937389
1122,2024-01-23,7937575,7646938,7407042,22412301,7937408
1123,2024-01-24,7937592,7646946,7412130,22417414,7937425
1124,2024-01-25,7937618,7646950,7420011,22425325,7937451
1125,2024-01-26,7937637,7646953,7425026,22430362,7937470
1126,2024-01-27,7937640,7646954,7425590,22430930,7937473
1127,2024-01-28,7937640,7646954,7425597,22430937,7937473
1128,2024-01-29,7937654,7646956,7429255,22434611,7937487
1129,2024-01-30,7937669,7646962,7434319,22439696,7937502
1130,2024-01-31,7937685,7646963,7436629,22442023,7937518
1131,2024-02-01,7937703,7646963,7440077,22445489,7937536
1132,2024-02-02,7937714,7646969,7441836,22447266,7937547
1133,2024-02-03,7937716,7646969,7442000,22447432,7937549
1134,2024-02-04,7937716,7646969,7442000,22447432,7937549
1135,2024-02-05,7937727,7646971,7443410,22448855,7937560
1136,2024-02-06,7937742,7646976,7445355,22450820,7937575
1137,2024-02-07,7937753,7646979,7446316,22451795,7937586
1138,2024-02-08,7937767,7646981,7447970,22453465,7937600
1139,2024-02-09,7937778,7646983,7448727,22454235,7937611
1140,2024-02-10,7937779,7646983,7448794,22454303,7937612
1141,2024-02-11,7937779,7646983,7448796,22454305,7937612
1142,2024-02-12,7937785,7646983,7449564,22455081,7937618
1143,2024-02-13,7937794,7646983,7450415,22455941,7937627
1144,2024-02-14,7937799,7646985,7450929,22456462,7937632
1145,2024-02-15,7937813,7646987,7451754,22457303,7937646
1146,2024-02-16,7937820,7646991,7452167,22457727,7937653
1147,2024-02-17,7937821,7646992,7452204,22457766,7937654
1148,2024-02-18,7937821,7646992,7452204,22457766,7937654
1149,2024-02-19,7937828,7646993,7452593,22458163,7937661
1150,2024-02-20,7937839,7646997,7453280,22458865,7937672
1151,2024-02-21,7937844,7646999,7453621,22459213,7937677
1152,2024-02-22,7937854,7647004,7454189,22459796,7937687
1153,2024-02-23,7937861,7647007,7454479,22460096,7937694
1154,2024-02-24,7937861,7647007,7454491,22460108,7937694
1155,2024-02-25,7937861,7647007,7454491,22460108,7937694
1156,2024-02-26,7937868,7647009,7454759,22460385,7937701
1157,2024-02-27,7937874,7647012,7455192,22460827,7937707
1158,2024-02-28,7937880,7647013,7455545,22461187,7937713
1159,2024-02-29,7937885,7647013,7456042,22461689,7937718
1160,2024-03-01,7937892,7647015,7456320,22461977,7937725
1161,2024-03-02,7937892,7647015,7456321,22461978,7937725
1162,2024-03-03,7937892,7647015,7456358,22462015,7937725
1163,2024-03-04,7937894,7647015,7456569,22462228,7937727
1164,2024-03-05,7937899,7647016,7457009,22462674,7937732
1165,2024-03-06,7937903,7647016,7457275,22462944,7937736
1166,2024-03-07,7937908,7647017,7457589,22463264,7937741
1167,2024-03-08,7937912,7647017,7457809,22463488,7937745
1168,2024-03-09,7937912,7647017,7457809,22463488,7937745
1169,2024-03-10,7937912,7647017,7457809,22463488,7937745
1170,2024-03-11,7937917,7647021,7458027,22463715,7937750
1171,2024-03-12,7937923,7647022,7458285,22463980,7937756
1172,2024-03-13,7937930,7647025,7458494,22464199,7937763
1173,2024-03-14,7937936,7647027,7458757,22464470,7937769
1174,2024-03-15,7937938,7647027,7458863,22464578,7937771
1175,2024-03-16,7937939,7647028,7458866,22464584,7937772
1176,2024-03-17,7937939,7647028,7458866,22464584,7937772
1177,2024-03-18,7937939,7647028,7458866,22464584,7937772
1178,2024-03-19,7937942,7647029,7459143,22464865,7937775
1179,2024-03-20,7937949,7647033,7459312,22465044,7937782
1180,2024-03-21,7937962,7647034,7459530,22465276,7937795
1181,2024-03-22,7937965,7647036,7459615,22465366,7937798
1182,2024-03-23,7937965,7647036,7459616,22465367,7937798
1183,2024-03-24,7937965,7647036,7459616,22465367,7937798
