id,date,category,cases,deaths,intensive,DISCHARGED,HOSPITALIZED,HOSPITALIZED_IN_ICU,PASSED_AWAY,RECOVERED,TREATED_AT_HOME
1,2020-01-25,0-17,253,0,0,0,0,0,0,0,0
2,2020-01-25,18-39,1236,3,1,0,0,0,0,0,0
3,2020-01-25,40-64,1637,43,5,0,0,0,0,0,0
4,2020-01-25,65+,773,155,4,0,0,0,0,0,0
5,2020-01-26,0-17,255,0,0,0,0,0,0,0,0
6,2020-01-26,18-39,1243,3,1,0,0,0,0,0,0
7,2020-01-26,40-64,1648,44,4,0,0,0,0,0,0
8,2020-01-26,65+,779,155,4,0,0,0,0,0,0
9,2020-04-03,0-17,43,0,0,0,0,0,0,0,0
10,2020-04-03,18-39,463,1,0,0,0,0,0,0,0
11,2020-04-03,40-64,686,17,40,0,0,0,0,0,0
12,2020-04-03,65+,320,41,52,0,0,0,0,0,0
13,2020-04-04,0-17,45,0,0,0,0,0,0,0,0
14,2020-04-04,18-39,488,1,0,0,0,0,0,0,0
15,2020-04-04,40-64,712,18,40,0,0,0,0,0,0
16,2020-04-04,65+,331,49,51,0,0,0,0,0,0
17,2020-04-05,0-17,48,0,0,0,0,0,0,0,0
18,2020-04-05,18-39,507,1,0,0,0,0,0,0,0
19,2020-04-05,40-64,739,18,43,0,0,0,0,0,0
20,2020-04-05,65+,345,54,50,0,0,0,0,0,0
21,2020-04-06,0-17,47,0,0,0,0,0,0,0,0
22,2020-04-06,18-39,519,1,0,0,0,0,0,0,0
23,2020-04-06,40-64,750,20,41,0,0,0,0,0,0
24,2020-04-06,65+,350,58,49,0,0,0,0,0,0
25,2020-04-07,0-17,48,0,0,0,0,0,0,0,0
26,2020-04-07,18-39,532,1,0,0,0,0,0,0,0
27,2020-04-07,40-64,790,21,39,0,0,0,0,0,0
28,2020-04-07,65+,367,59,51,0,0,0,0,0,0
29,2020-04-08,0-17,50,0,0,0,0,0,0,0,0
30,2020-04-08,18-39,548,1,0,0,0,0,0,0,0
31,2020-04-08,40-64,817,21,35,0,0,0,0,0,0
32,2020-04-08,65+,383,61,49,0,0,0,0,0,0
33,2020-04-09,0-17,51,0,0,0,0,0,0,0,0
34,2020-04-09,18-39,575,1,0,0,0,0,0,0,0
35,2020-04-09,40-64,850,23,31,0,0,0,0,0,0
36,2020-04-09,65+,397,62,48,0,0,0,0,0,0
37,2020-04-10,0-17,66,0,0,0,0,0,0,0,0
38,2020-04-10,18-39,596,1,0,0,0,0,0,0,0
39,2020-04-10,40-64,867,24,33,0,0,0,0,0,0
40,2020-04-10,65+,408,65,44,0,0,0,0,0,0
41,2020-04-11,0-17,69,0,0,0,0,0,0,0,0
42,2020-04-11,18-39,615,1,0,0,0,0,0,0,0
43,2020-04-11,40-64,892,25,33,0,0,0,0,0,0
44,2020-04-11,65+,426,67,42,0,0,0,0,0,0
45,2020-04-12,0-17,69,0,0,0,0,0,0,0,0
46,2020-04-12,18-39,615,1,0,0,0,0,0,0,0
47,2020-04-12,40-64,892,25,33,0,0,0,0,0,0
